data-revisit-plants_info-on-date_tagged,data-revisit-plants_info-site_code_tagged,tag.no,sci.name,data-revisit-plants_info-deadalive,data-revisit-plants_info-height,data-revisit-plants_info-rcd,data-revisit-plants_info-yes_no1,data-revisit-plants_info-disturbance,data-revisit-plants_info-flame_h,data-revisit-plants_info-yes_no,data-revisit-plants_info-spot,data-revisit-plants_info-photo_bud,PARENT_KEY,KEY
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1372,Dolichandrone atrovirens,alive,164,40,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[1]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1340,Dolichandrone atrovirens,alive,100,23,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[2]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1378,Dolichandrone atrovirens,alive,115,25,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[3]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1394,Dolichandrone atrovirens,alive,150,32,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[4]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1383,Dolichandrone atrovirens,alive,68,21,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[5]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1397,Dolichandrone atrovirens,alive,67,22,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[6]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1390,Dolichandrone atrovirens,alive,94,24,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[7]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1395,Dolichandrone atrovirens,alive,195,32,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[8]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1389,Dolichandrone atrovirens,alive,99,23,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[9]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1393,Dolichandrone atrovirens,alive,135,41,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[10]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1382,Dolichandrone atrovirens,alive,82,19,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[11]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1399,Dolichandrone atrovirens,alive,60,20,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[12]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1380,Dolichandrone atrovirens,alive,134,23,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[13]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1388,Dolichandrone atrovirens,alive,112,22,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[14]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1391,Dolichandrone atrovirens,alive,66,28,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[15]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1392,Dolichandrone atrovirens,dead, , ,yes,fire,80, , , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[16]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1384,Dolichandrone atrovirens,alive,86,24,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[17]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1376,Dolichandrone atrovirens,alive,33,4,no, , ,yes,collar,https://drive.google.com/open?id=1D-s1gyuU8bYqpsI7lAwyyNSb6v6s140b,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[18]
2021-05-24T08:42:00.000+05:30,APC6-bodha_grass_removed_no_fire,1342,Dolichandrone atrovirens,alive,69,23,no, , ,no, , ,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2,uuid:8b863c03-6054-4b21-be9a-c7b0885744d2/revisit[19]
