site_code,treatment,site,sci.name,no_seedling
APC3,CAFA,APC3_CAFA,Wrightia tinctoria,1
APA21,CPFA,APA21_CPFA,Annona squamosa,1
APA12,CAFA,APA12_CAFA,Gyrocarpus americanus,1
APA12,CAFA,APA12_CAFA,Holoptelia intergrifolia,1
APA1,CAFA,APA1_CAFA,Holoptelia intergrifolia,1
APA1,CAFA,APA1_CAFA,Acacia nilotica,1
APA1,CAFA,APA1_CAFA,Wrightia tinctoria,1
APC10,CAFA,APC10_CAFA,Azadirachata indica,1
APC10,CAFA,APC10_CAFA,Cassia fistula,1
APC13,CPFA,APC13_CPFA,Pongamia pinnata,1
APC3,Control,APC3_Control,Dolichandrone atrovirens,1
APC5,CPFA,APC5_CPFA,Acacia chundra,1
APC5,CPFA,APC5_CPFA,Holoptelia intergrifolia,1
APC5,CPFA,APC5_CPFA,Wrightia tinctoria,1
APA17,CAFA,APA17_CAFA,Gyrocarpus americanus,1
APA17,CAFA,APA17_CAFA,Pongamia pinnata,1
APA18,CPFA,APA18_CPFA,Premna tomentosa,2
APA21,CAFA,APA21_CAFA,Holoptelia intergrifolia,1
APA12,Control,APA12_Control,Dolichandrone atrovirens,1
APC4,CPFA,APC4_CPFA,Azadirachata indica,1
APC4,CPFA,APC4_CPFA,Gardenia gummifera,1
APC14,CAFA,APC14_CAFA,Pongamia pinnata,1
APC14,CAFA,APC14_CAFA,Holoptelia intergrifolia,1
APC14,CAFA,APC14_CAFA,Azadirachata indica,1
APA19,CAFA,APA19_CAFA,Wrightia tinctoria,1
APA5,CAFA,APA5_CAFA,Albizia amara,1
APA5,CAFA,APA5_CAFA,Acacia chundra,1
APA15,CPFA,APA15_CPFA,Wrightia tinctoria,1
