"treatment","village","site","sci.name","tag.no","h1","rcd1","disturbance","h0","rcd0","LUI","rgr"
"Control","APC3","APC3_Control","Tectona grandis",1316,50,0.9,"partly_dried",NA,NA,NA,NA
"Control","APC3","APC3_Control","Dolichandrone atrovirens",1317,90,1.7,"none",36,1.2,0.17,0.348306694268216
"Control","APC3","APC3_Control","Chloroxylon swietenia",1318,80,1.7,"none",74,1.4,0.17,0.194156014440957
"Control","APC3","APC3_Control","Dolichandrone atrovirens",1319,100,1.9,"browsed",75,1.1,0.17,0.54654370636807
"Control","APC3","APC3_Control","Dolichandrone atrovirens",1320,100,1.8,"browsed",30,0.9,0.17,0.693147180559945
"Control","APC3","APC3_Control","Acacia chundra",1321,90,1.4,"none",56,0.4,0.17,1.25276296849537
"Control","APC3","APC3_Control","Tectona grandis",1322,140,2.3,"partly_dried",NA,NA,NA,NA
"Control","APC3","APC3_Control","Dolichandrone atrovirens",1323,90,2.1,"browsed",45,1.4,0.17,0.405465108108164
"Control","APC3","APC3_Control","Dolichandrone atrovirens",1324,100,1.9,"browsed",80,1.4,0.17,0.305381649551182
"Control","APC3","APC3_Control","Chloroxylon swietenia",1325,70,1.5,"none",60,1.1,0.17,0.310154928303839
"Control","APC3","APC3_Control","Dolichandrone atrovirens",1326,80,2.1,"browsed",36,1.6,0.17,0.271933715483642
"Control","APC1","APC1_Control","Acacia chundra",1400,160,3.8,"none",100,3,1.31,0.23638877806423
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1401,80,3.1,"none",43,2.3,1.31,0.298492988555997
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1402,102,3.2,"none",50,2.5,1.31,0.246860077931526
"Control","APC1","APC1_Control","Gardenia gummifera",1403,30,1.9,"partly_dried",50,1.7,1.31,0.111225635110224
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1404,125,3.5,"none",75,2.2,1.31,0.464305608131098
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1405,50,0.8,"none",30,0.7,1.31,0.133531392624523
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1406,135,2.4,"none",90,2.2,1.31,0.0870113769896296
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1407,53,1.8,"browsed",46,1.1,1.31,0.492476485097794
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1408,210,3.8,"browsed",90,1.8,1.31,0.747214401830221
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1409,45,1.1,"none",15,0.3,1.31,1.29928298413026
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1410,125,3.5,"none",60,2.8,1.31,0.22314355131421
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1411,122,4.9,"none",88,3.3,1.31,0.395312736644146
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1412,170,3.5,"none",100,2.7,1.31,0.259511195485085
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1413,124,3.2,"none",53,2.4,1.31,0.287682072451781
"Control","APC1","APC1_Control","Acacia chundra",1414,60,3.1,"none",40,2.9,1.31,0.0666913744986724
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1415,125,3.1,"none",85,2.4,1.31,0.255933374137201
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1416,140,2.9,"none",90,2.7,1.31,0.0714589639821448
"Control","APC1","APC1_Control","Dolichandrone atrovirens",1417,124,3.9,"browsed",100,2.9,1.31,0.296265816143172
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1437,42,1.6,"browsed",37,1.1,0.46,0.374693449441411
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1438,107,2.8,"browsed",45,1.6,0.46,0.559615787935422
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1439,32,1.8,"browsed",24,0.7,0.46,0.944461608840852
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1440,40,1.4,"browsed",17,0.6,0.46,0.847297860387204
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1441,100,2.9,"none",40,0.7,0.46,1.42138568093116
"Control","APC8","APC8_Control","Wrightia tinctoria",3721,40,3.1,"none",17,1.3,0.56,0.86903784702361
"Control","APC8","APC8_Control","Dolichandrone atrovirens",3726,90,2.7,"none",18,2.4,0.56,0.117783035656384
"Control","APC8","APC8_Control","Dolichandrone atrovirens",3727,110,2.5,"none",17,1.3,0.56,0.653926467406664
"Control","APC8","APC8_Control","Dolichandrone atrovirens",3729,21,1.7,"browsed",12,1.4,0.56,0.194156014440957
"Control","APC8","APC8_Control","Dolichandrone atrovirens",3731,80,2.1,"none",NA,NA,NA,NA
"Control","APC8","APC8_Control","Dolichandrone atrovirens",3737,65,2.5,"none",18,3,0.56,-0.182321556793955
"Control","APC8","APC8_Control","Dolichandrone atrovirens",3738,47,2.5,"none",26,2.4,0.56,0.0408219945202553
"Control","APC8","APC8_Control","Dolichandrone atrovirens",3739,90,3.7,"none",18,2.4,0.56,0.432864082296279
"Control","APC8","APC8_Control","Dolichandrone atrovirens",3740,37,2.2,"browsed",25,1.4,0.56,0.451985123743057
"Control","APC8","APC8_Control","Dolichandrone atrovirens",3752,120,2.5,"none",80,1.3,0.56,0.653926467406664
"Control","APA6","APA6_Control","Cassia fistula",3875,160,3.5,"none",10,2,0.23,0.559615787935423
"Control","APA6","APA6_Control","Cassia fistula",3876,148,4.3,"none",15,2,0.23,0.765467842139571
"Control","APA6","APA6_Control","Ziziphus mauritiana",3877,70,2.5,"none",20,1.5,0.23,0.510825623765991
"Control","APA6","APA6_Control","Dolichandrone atrovirens",3880,64,2.6,"none",10,2,0.23,0.262364264467491
"Control","APA7","APA7_Control","Carissa carandas",3905,34,2,"none",20,0.7,0.87,1.04982212449868
"Control","APA7","APA7_Control","Cassia fistula",3907,60,1.8,"none",16,3,0.87,-0.510825623765991
"Control","APA7","APA7_Control","Acacia leucophloea",3910,90,2.3,"none",10,2,0.87,0.139761942375159
"Control","APA7","APA7_Control","Cassia fistula",3911,50,1.1,"none",20,1.3,0.87,-0.167054084663166
"Control","APA7","APA7_Control","Carissa carandas",3912,150,3.2,"none",72,1.4,0.87,0.826678573184468
"Control","APA7","APA7_Control","Cassia fistula",3913,65,3,"none",10,2,0.87,0.405465108108164
"Control","APA6","APA6_Control","Acacia leucophloea",3918,90,1.8,"none",40,2.3,0.23,-0.245122458032985
"Control","APA7","APA7_Control","Cassia fistula",3978,50,1.1,"none",20,1.3,0.87,-0.167054084663166
"Control","APA7","APA7_Control","Cassia fistula",3979,90,1.4,"none",46,0.6,0.87,0.847297860387204
"Control","APA7","APA7_Control","Cassia fistula",3982,50,0.9,"none",10,2,0.87,-0.798507696217772
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4505,85,1.7,"none",24,2.4,2.86,-0.344840486291729
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4508,38,2.7,"none",42,3.8,2.86,-0.341749293722057
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4509,41,2.7,"none",78,3.1,2.86,-0.138150338480817
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4511,125,3,"none",18,3,2.86,0
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4514,120,4.6,"none",18,3,2.86,0.427444014826939
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4520,71,3.2,"none",75,1.9,2.86,0.521296923633286
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4522,37,2.1,"none",20,2.4,2.86,-0.133531392624523
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4523,77,3.2,"none",53,1.9,2.86,0.521296923633286
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4524,120,4.2,"none",74,2.1,2.86,0.693147180559945
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4525,150,5,"none",18,0.3,2.86,2.81341071676004
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4526,83,4.3,"none",36,1.2,2.86,1.27629346590556
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4527,112,4.6,"none",25,1.3,2.86,1.26369203902756
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4528,78,3,"none",71,1.8,2.86,0.510825623765991
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4529,75,4.1,"none",37,2.5,2.86,0.494696241836107
"Control","APC6","APC6_Control","Dolichandrone atrovirens",4530,136,4.5,"none",71,3.2,2.86,0.340926586970593
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4606,87,4.2,"none",37,0.4,0.87,2.35137525716348
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4607,90,2.3,"browsed",27,0.4,0.87,1.74919985480926
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4608,120,1.5,"none",38,0.6,0.87,0.916290731874155
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4609,80,1.3,"browsed",90,2.6,0.87,-0.693147180559945
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4610,40,0.6,"none",30,0.5,0.87,0.182321556793955
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4611,95,1.1,"browsed",15,0.3,0.87,1.29928298413026
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4612,80,1.4,"none",50,0.7,0.87,0.693147180559945
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4613,50,0.7,"none",34,1.1,0.87,-0.451985123743057
"Control","APC11","APC11_Control","Dalbergia sissoo",4614,70,1.4,"none",45,0.4,0.87,1.25276296849537
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4615,170,4.1,"none",15,0.4,0.87,2.32727770558442
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4616,50,0.8,"none",35,0.6,0.87,0.287682072451781
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4617,75,1.3,"browsed",16,0.3,0.87,1.46633706879343
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4618,80,1.4,"none",55,1.1,0.87,0.241162056816888
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4619,60,1.6,"none",43,0.5,0.87,1.16315080980568
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4620,60,0.6,"browsed",28,0.6,0.87,0
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4621,36,0.7,"none",50,0.7,0.87,0
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4622,70,1.1,"none",22,0.7,0.87,0.451985123743057
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4623,55,0.8,"none",45,1.5,0.87,-0.628608659422374
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4624,80,1.7,"browsed",30,0.7,0.87,0.887303195000903
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4625,70,1.1,"none",36,0.4,0.87,1.01160091167848
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4626,55,1.1,"browsed",35,0.5,0.87,0.78845736036427
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4627,115,1.9,"browsed",30,0.6,0.87,1.15267950993839
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4628,42,1.1,"none",50,1.1,0.87,0
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4629,65,1.8,"browsed",65,1.4,0.87,0.251314428280906
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4630,40,0.9,"none",48,0.6,0.87,0.405465108108164
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4631,45,0.8,"none",35,0.6,0.87,0.287682072451781
"Control","APC11","APC11_Control","Cassia fistula",4632,60,1.1,"trampled",55,0.6,0.87,0.606135803570316
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4633,95,1.6,"browsed",34,0.7,0.87,0.826678573184468
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4634,100,2.6,"none",48,0.6,0.87,1.46633706879343
"Control","APC11","APC11_Control","Dolichandrone atrovirens",4635,80,2.7,"browsed",83,1.8,0.87,0.405465108108164
"Control","APA12","APA12_Control","Dalbergia paniculata",4788,130,2.1,"none",41,0.5,1.51,1.43508452528932
"Control","APA12","APA12_Control","Azadirachata indica",4789,125,1.9,"none",50,0.4,1.51,1.55814461804655
"Control","APA12","APA12_Control","Cassia fistula",4790,100,1.2,"none",40,0.5,1.51,0.8754687373539
"Control","APA12","APA12_Control","Cassia fistula",4791,65,0.8,"none",10,0.4,1.51,0.693147180559945
"Control","APA12","APA12_Control","Dalbergia paniculata",4792,100,0.7,"none",35,0.5,1.51,0.336472236621213
"Control","APA12","APA12_Control","Wrightia tinctoria",4793,55,1.8,"partly_dried",51,0.8,1.51,0.810930216216329
"Control","APA12","APA12_Control","Dalbergia paniculata",4795,130,1.7,"none",27,0.3,1.51,1.73460105538811
"Control","APA12","APA12_Control","Cassia fistula",4796,78,0.7,"none",70,0.8,1.51,-0.133531392624523
"Control","APA12","APA12_Control","Cassia fistula",4797,60,0.8,"none",18,0.4,1.51,0.693147180559945
"Control","APA12","APA12_Control","Dalbergia paniculata",4798,35,0.6,"none",16,0.3,1.51,0.693147180559945
"Control","APA12","APA12_Control","Cassia fistula",4799,60,1.3,"none",80,1.1,1.51,0.167054084663166
"Control","APA12","APA12_Control","Cassia fistula",4800,90,1.8,"none",25,0.3,1.51,1.79175946922806
"Control","APA12","APA12_Control","Cassia fistula",4901,65,1,"none",51,0.7,1.51,0.356674943938732
"Control","APA12","APA12_Control","Cassia fistula",4902,110,2.6,"none",30,0.3,1.51,2.15948424935337
"Control","APA12","APA12_Control","Cassia fistula",4903,40,0.6,"none",50,0.6,1.51,0
"Control","APA12","APA12_Control","Azadirachata indica",4904,40,0.7,"none",50,0.5,1.51,0.336472236621213
"Control","APA12","APA12_Control","Dalbergia paniculata",4905,95,1.8,"none",20,0.3,1.51,1.79175946922806
"Control","APA12","APA12_Control","Dalbergia paniculata",4906,70,1.1,"none",28,0.3,1.51,1.29928298413026
"Control","APA12","APA12_Control","Dalbergia paniculata",4907,130,2.1,"none",30,0.3,1.51,1.94591014905531
"Control","APA12","APA12_Control","Dalbergia paniculata",4908,40,0.9,"none",75,0.7,1.51,0.251314428280906
"Control","APA12","APA12_Control","Wrightia tinctoria",4909,100,2.4,"none",44,0.6,1.51,1.38629436111989
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4952,80,0.9,"none",18,0.4,1.64,0.810930216216329
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4953,35,0.8,"none",64,0.8,1.64,0
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4954,90,2,"none",56,0.7,1.64,1.04982212449868
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4955,110,2.1,"none",58,0.7,1.64,1.09861228866811
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4956,100,1.6,"none",70,3.1,1.64,-0.661398482245365
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4957,60,1.3,"none",26,0.5,1.64,0.955511445027436
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4958,120,2.5,"browsed",23,0.3,1.64,2.12026353620009
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4959,80,1.8,"none",13,0.3,1.64,1.79175946922806
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4960,150,2.5,"none",23,0.4,1.64,1.83258146374831
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4961,125,2.1,"none",13,0.3,1.64,1.94591014905531
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4962,90,4.1,"none",17,0.4,1.64,2.32727770558442
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4963,65,1.5,"none",8,2,1.64,-0.287682072451781
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4964,55,1.1,"none",70,2,1.64,-0.59783700075562
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4965,25,0.8,"none",60,0.3,1.64,0.980829253011726
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4966,60,1.3,"none",36,0.5,1.64,0.955511445027436
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4967,30,0.7,"none",100,2.9,1.64,-1.42138568093116
"Control","APC12","APC12_Control","Wrightia tinctoria",4968,55,0.9,"none",37,0.4,1.64,0.810930216216329
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4969,20,2.5,"none",16,0.3,1.64,2.12026353620009
"Control","APC12","APC12_Control","Dolichandrone atrovirens",4970,15,2.3,"browsed",14,0.3,1.64,2.03688192726104
"Control","APC10","APC10_Control","Acacia chundra",4971,12,0.4,"partly_dried",32,0.3,1.52,0.287682072451781
"Control","APC10","APC10_Control","Acacia chundra",4972,100,1.7,"none",30,0.4,1.52,1.44691898293633
"Control","APC10","APC10_Control","Acacia chundra",4973,140,4.1,"partly_dried",49,0.4,1.52,2.32727770558442
"Control","APC10","APC10_Control","Dolichandrone atrovirens",4974,60,1.1,"browsed",26,0.5,1.52,0.78845736036427
"Control","APC10","APC10_Control","Acacia chundra",4975,40,0.6,"none",35,0.8,1.52,-0.287682072451781
"Control","APC10","APC10_Control","Acacia chundra",4976,30,0.8,"none",68,0.5,1.52,0.470003629245736
"Control","APC10","APC10_Control","Acacia chundra",4977,80,0.7,"none",55,0.4,1.52,0.559615787935423
"Control","APC10","APC10_Control","Acacia chundra",4978,90,0.7,"none",40,0.4,1.52,0.559615787935423
"Control","APC10","APC10_Control","Cassia fistula",4979,80,1.1,"none",16,0.5,1.52,0.78845736036427
"Control","APC10","APC10_Control","Acacia chundra",4980,70,1.7,"none",24,0.3,1.52,1.73460105538811
"Control","APC10","APC10_Control","Dolichandrone atrovirens",4981,55,1.2,"none",17,2.5,1.52,-0.733969175080201
"Control","APC10","APC10_Control","Dolichandrone atrovirens",4982,160,1.3,"none",23,0.5,1.52,0.955511445027436
"Control","APC10","APC10_Control","Acacia chundra",4983,50,0.6,"trampled",30,0.3,1.52,0.693147180559945
"Control","APC10","APC10_Control","Acacia chundra",4984,130,1.4,"none",35,0.3,1.52,1.54044504094715
"Control","APC10","APC10_Control","Cassia fistula",4985,120,1.5,"none",50,0.6,1.52,0.916290731874155
"Control","APC10","APC10_Control","Dolichandrone atrovirens",4986,70,0.9,"none",22,1.4,1.52,-0.441832752279039
"Control","APC10","APC10_Control","Acacia chundra",4987,85,2.6,"none",39,0.5,1.52,1.64865862558738
"Control","APC10","APC10_Control","Acacia chundra",4988,100,1.7,"none",40,0.3,1.52,1.73460105538811
"Control","APC10","APC10_Control","Acacia chundra",4989,115,1.2,"none",19,2,1.52,-0.510825623765991
"Control","APC10","APC10_Control","Dolichandrone atrovirens",4990,90,0.9,"none",28,0.6,1.52,0.405465108108164
"Control","APC10","APC10_Control","Dolichandrone atrovirens",4991,150,1.8,"none",20,1.4,1.52,0.251314428280906
"Control","APC10","APC10_Control","Dolichandrone atrovirens",4992,100,2.5,"none",23,0.6,1.52,1.42711635564015
"Control","APC10","APC10_Control","Dolichandrone atrovirens",4993,110,0.7,"none",18,0.5,1.52,0.336472236621213
"Control","APC10","APC10_Control","Dolichandrone atrovirens",4994,60,0.4,"none",37,0.6,1.52,-0.405465108108164
"Control","APC10","APC10_Control","Dolichandrone atrovirens",4995,65,2.7,"none",26,1.5,1.52,0.587786664902119
"Control","APC10","APC10_Control","Acacia chundra",4996,70,1.8,"none",23,0.4,1.52,1.50407739677627
"Control","APC10","APC10_Control","Acacia chundra",4997,90,2.1,"none",40,1.4,1.52,0.405465108108164
"Control","APC10","APC10_Control","Acacia chundra",4998,70,1.3,"none",60,0.4,1.52,1.17865499634165
"Control","APC10","APC10_Control","Dolichandrone atrovirens",4999,50,1.1,"none",35,0.6,1.52,0.606135803570316
"Control","APC10","APC10_Control","Dolichandrone atrovirens",5000,120,2.1,"browsed",40,0.7,1.52,1.09861228866811
"CPFA","APC1","APC1_CPFA","Acacia chundra",1041,110,1.8,"none",93,1.2,1,0.405465108108164
"CPFA","APC1","APC1_CPFA","Acacia chundra",1042,180,1.8,"none",90,1.5,1,0.182321556793955
"CPFA","APC1","APC1_CPFA","Erythroxylum monogynum",1060,60,0.6,"none",60,0.5,1,0.182321556793955
"CPFA","APC1","APC1_CPFA","Dolichandrone atrovirens",1061,132,2.7,"none",100,1.7,1,0.462623521948113
"CPFA","APC1","APC1_CPFA","Acacia chundra",1064,135,1.1,"none",76,1,1,0.0953101798043249
"CPFA","APC1","APC1_CPFA","Dolichandrone atrovirens",1065,80,1.6,"none",70,1.3,1,0.207639364778245
"CPFA","APC1","APC1_CPFA","Acacia chundra",1066,90,1.8,"none",70,1.3,1,0.325422400434628
"CPFA","APC1","APC1_CPFA","Acacia chundra",1067,51,0.9,"partly_dried",36,0.7,1,0.251314428280906
"CPFA","APC1","APC1_CPFA","Dolichandrone atrovirens",1069,55,1.1,"browsed",45,0.9,1,0.200670695462151
"CPFA","APC1","APC1_CPFA","Dolichandrone atrovirens",1071,34,1.1,"browsed",25,1,1,0.0953101798043249
"CPFA","APC1","APC1_CPFA","Acacia chundra",1072,80,1.8,"none",35,0.9,1,0.693147180559945
"CPFA","APC1","APC1_CPFA","Gardenia gummifera",1073,24,1.4,"partly_dried",20,0.6,1,0.847297860387204
"CPFA","APC1","APC1_CPFA","Dolichandrone atrovirens",1074,28,1.1,"browsed",30,0.7,1,0.451985123743057
"CPFA","APC1","APC1_CPFA","Dolichandrone atrovirens",1076,60,1.8,"browsed",54,1.9,1,-0.0540672212702756
"CPFA","APC1","APC1_CPFA","Acacia chundra",1077,75,0.9,"none",33,0.7,1,0.251314428280906
"CPFA","APC1","APC1_CPFA","Acacia chundra",1078,70,0.9,"none",50,1,1,-0.105360515657826
"CPFA","APC1","APC1_CPFA","Dolichandrone atrovirens",1079,35,0.4,"none",10,0.3,1,0.287682072451781
"CPFA","APC1","APC1_CPFA","Acacia chundra",1080,50,1.1,"none",30,0.7,1,0.451985123743057
"CPFA","APC1","APC1_CPFA","Erythroxylum monogynum",1081,100,1.1,"none",40,0.6,1,0.606135803570316
"CPFA","APC1","APC1_CPFA","Acacia chundra",1082,110,1.4,"none",78,1.3,1,0.0741079721537218
"CPFA","APC1","APC1_CPFA","Acacia chundra",1083,115,2.1,"none",70,1.7,1,0.211309093667207
"CPFA","APC1","APC1_CPFA","Dolichandrone atrovirens",1084,53,1.9,"browsed",40,1.8,1,0.0540672212702756
"CPFA","APC1","APC1_CPFA","Morinda pubescens",1085,45,1.1,"none",14,0.4,1,1.01160091167848
"CPFA","APC1","APC1_CPFA","Erythroxylum monogynum",1086,127,0.8,"partly_dried",80,0.7,1,0.133531392624523
"CPFA","APC1","APC1_CPFA","Erythroxylum monogynum",1088,110,0.7,"partly_dried",60,0.6,1,0.154150679827258
"CPFA","APA18","APA18_CPFA","Dolichandrone atrovirens",1101,30,2,"none",56,1,0.87,0.693147180559945
"CPFA","APA18","APA18_CPFA","Dolichandrone atrovirens",1102,21,1.5,"browsed",33,0.8,0.87,0.628608659422374
"CPFA","APA18","APA18_CPFA","Dolichandrone atrovirens",1105,11,1.2,"browsed",20,0.8,0.87,0.405465108108164
"CPFA","APA18","APA18_CPFA","Dolichandrone atrovirens",1106,38,3,"browsed",60,1.3,0.87,0.836248024200619
"CPFA","APC5","APC5_CPFA","Premna tomentosa",1367,135,1.8,"none",82,0.9,0.17,0.693147180559945
"CPFA","APC5","APC5_CPFA","Azadirachata indica",1368,50,0.4,"none",40,0.3,0.17,0.287682072451781
"CPFA","APC5","APC5_CPFA","Dolichandrone atrovirens",1369,155,2.6,"none",100,2.2,0.17,0.167054084663166
"CPFA","APC5","APC5_CPFA","Wrightia tinctoria",1370,100,2.6,"none",95,2.1,0.17,0.213574100298059
"CPFA","APC5","APC5_CPFA","Wrightia tinctoria",1371,76,1.9,"partly_dried",85,1.9,0.17,0
"CPFA","APC5","APC5_CPFA","Dolichandrone atrovirens",1374,100,2.1,"browsed",70,1.4,0.17,0.405465108108164
"CPFA","APC4","APC4_CPFA","Dolichandrone atrovirens",1442,100,3.8,"none",72,3.4,0.51,0.111225635110224
"CPFA","APC4","APC4_CPFA","Acacia chundra",1443,100,1.2,"none",70,0.9,0.51,0.287682072451781
"CPFA","APC4","APC4_CPFA","Dolichandrone atrovirens",1444,80,1.9,"browsed",60,0.9,0.51,0.747214401830221
"CPFA","APC4","APC4_CPFA","Dolichandrone atrovirens",1445,20,1.2,"none",20,0.5,0.51,0.8754687373539
"CPFA","APC4","APC4_CPFA","Acacia chundra",1446,80,1.1,"none",70,0.8,0.51,0.318453731118535
"CPFA","APC4","APC4_CPFA","Acacia chundra",1447,110,1.6,"none",69,1.1,0.51,0.374693449441411
"CPFA","APC4","APC4_CPFA","Dolichandrone atrovirens",1448,150,2.3,"none",80,1.2,0.51,0.650587566141149
"CPFA","APC4","APC4_CPFA","Acacia chundra",1449,80,1.7,"none",73,1.4,0.51,0.194156014440957
"CPFA","APC4","APC4_CPFA","Acacia chundra",1450,110,2.7,"none",85,1.7,0.51,0.462623521948113
"CPFA","APC4","APC4_CPFA","Acacia chundra",1451,102,2.5,"none",75,2.3,0.51,0.0833816089390512
"CPFA","APC4","APC4_CPFA","Acacia chundra",1452,60,0.9,"none",36,0.6,0.51,0.405465108108164
"CPFA","APC4","APC4_CPFA","Dolichandrone atrovirens",1453,90,1.2,"browsed",90,1.1,0.51,0.0870113769896297
"CPFA","APC4","APC4_CPFA","Acacia chundra",1455,75,1.7,"none",58,0.8,0.51,0.75377180237638
"CPFA","APC4","APC4_CPFA","Acacia chundra",1456,90,2.8,"partly_dried",93,1.9,0.51,0.387765531008763
"CPFA","APC4","APC4_CPFA","Acacia chundra",1457,90,2.6,"none",75,1.5,0.51,0.550046336919272
"CPFA","APC4","APC4_CPFA","Acacia chundra",1458,50,1.3,"none",32,1.1,0.51,0.167054084663166
"CPFA","APC4","APC4_CPFA","Cassia fistula",1459,63,1.1,"none",49,0.8,0.51,0.318453731118535
"CPFA","APC4","APC4_CPFA","Dolichandrone atrovirens",1460,58,1.5,"browsed",53,1.2,0.51,0.22314355131421
"CPFA","APC4","APC4_CPFA","Morinda pubescens",1462,90,1.2,"partly_dried",87,1.2,0.51,0
"CPFA","APC4","APC4_CPFA","Acacia chundra",1464,65,1.4,"none",60,1.3,0.51,0.0741079721537218
"CPFA","APC12","APC12_CPFA","Acacia chundra",3279,75,0.9,"none",20,0.4,1.74,0.810930216216329
"CPFA","APC12","APC12_CPFA","Acacia chundra",3280,100,1.1,"none",50,0.8,1.74,0.318453731118535
"CPFA","APC12","APC12_CPFA","Acacia chundra",3281,65,0.7,"partly_dried",80,1.2,1.74,-0.538996500732687
"CPFA","APC12","APC12_CPFA","Acacia chundra",3282,100,1.6,"partly_dried",85,1.3,1.74,0.207639364778245
"CPFA","APC12","APC12_CPFA","Acacia chundra",3283,100,1.1,"none",70,1.2,1.74,-0.0870113769896297
"CPFA","APA19","APA19_CPFA","Cassia fistula",3401,120,1.6,"none",63,1.4,1.65,0.133531392624523
"CPFA","APA19","APA19_CPFA","Dolichandrone atrovirens",3402,100,1.6,"none",64,1,1.65,0.470003629245736
"CPFA","APA19","APA19_CPFA","Dolichandrone atrovirens",3403,36,1.3,"browsed",55,0.9,1.65,0.367724780125317
"CPFA","APA19","APA19_CPFA","Dolichandrone atrovirens",3404,21,1.2,"browsed",23,0.5,1.65,0.8754687373539
"CPFA","APA19","APA19_CPFA","Dolichandrone atrovirens",3405,32,2,"browsed",29,0.9,1.65,0.798507696217772
"CPFA","APA19","APA19_CPFA","Dolichandrone atrovirens",3406,9,0.8,"browsed",56,0.9,1.65,-0.117783035656383
"CPFA","APA19","APA19_CPFA","Eucalyptus globulus",3407,12,1.2,"partly_dried",49,1,1.65,0.182321556793955
"CPFA","APA19","APA19_CPFA","Dolichandrone atrovirens",3408,22,1.1,"browsed",47,1,1.65,0.0953101798043249
"CPFA","APA19","APA19_CPFA","Dolichandrone atrovirens",3409,36,2.4,"browsed",32,1,1.65,0.8754687373539
