"treatment","village","site","sci.name","tag.no","h1","rcd1","disturbance","h0","rcd0","LUI","rgr"
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",4578,70,3,"none",89,1.8,2.5,0.510825623765991
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",4579,168,5.5,"none",60,1.6,2.5,1.23474446299269
"CAFA","APC11","APC11_CAFA","Dolichandrone atrovirens",4601,117,4.3,"none",68,1.2,1.68,1.27629346590556
"CAFA","APC11","APC11_CAFA","Dolichandrone atrovirens",4602,182,5,"none",80,1.2,1.68,1.42711635564015
"CAFA","APC11","APC11_CAFA","Tectona grandis",4603,87,4.6,"none",NA,NA,NA,NA
"CAFA","APC11","APC11_CAFA","Dolichandrone atrovirens",4604,117,4.6,"none",19,0.3,1.68,2.73002910782099
"CAFA","APC11","APC11_CAFA","Dalbergia paniculata",4605,135,4.2,"none",57,0.5,1.68,2.12823170584927
"CAFA","APC10","APC10_CAFA","Wrightia tinctoria",4636,60,1.5,"partly_dried",45,1.2,1.4,0.22314355131421
"CAFA","APC10","APC10_CAFA","Albizia amara",4637,80,1.3,"none",30,0.5,1.4,0.955511445027436
"CAFA","APC10","APC10_CAFA","Cassia fistula",4638,80,1.1,"none",50,1.1,1.4,0
"CAFA","APC10","APC10_CAFA","Tectona grandis",4639,80,1.4,"none",NA,NA,NA,NA
"CAFA","APC10","APC10_CAFA","Cassia fistula",4641,80,1.1,"none",50,0.6,1.4,0.606135803570316
"CAFA","APC10","APC10_CAFA","Cassia fistula",4642,140,3.3,"none",25,0.3,1.4,2.39789527279837
"CAFA","APC10","APC10_CAFA","Wrightia tinctoria",4643,85,1.8,"partly_dried",38,1.2,1.4,0.405465108108164
"CAFA","APC10","APC10_CAFA","Cassia fistula",4644,45,0.8,"partly_dried",30,0.8,1.4,0
"CAFA","APC10","APC10_CAFA","Wrightia tinctoria",4645,90,1.4,"none",70,1.1,1.4,0.241162056816888
"CAFA","APC10","APC10_CAFA","Wrightia tinctoria",4646,100,2.1,"partly_dried",40,0.7,1.4,1.09861228866811
"CAFA","APC10","APC10_CAFA","Cassia fistula",4647,120,1.1,"none",50,0.8,1.4,0.318453731118535
"CAFA","APC10","APC10_CAFA","Cassia fistula",4648,60,0.6,"none",28,0.7,1.4,-0.154150679827258
"CAFA","APC10","APC10_CAFA","Wrightia tinctoria",4649,40,1.5,"partly_dried",50,0.9,1.4,0.510825623765991
"CAFA","APC10","APC10_CAFA","Tectona grandis",4650,70,0.8,"partly_dried",NA,NA,NA,NA
"CAFA","APC10","APC10_CAFA","Cassia fistula",4652,65,1.1,"partly_dried",77,1.4,1.4,-0.241162056816888
"CAFA","APC10","APC10_CAFA","Cassia fistula",4653,50,0.8,"partly_dried",28,0.5,1.4,0.470003629245736
"CAFA","APC10","APC10_CAFA","Cassia fistula",4654,70,1.4,"none",28,0.4,1.4,1.25276296849537
"CAFA","APC10","APC10_CAFA","Cassia fistula",4655,30,0.8,"none",28,0.3,1.4,0.980829253011726
"CAFA","APC10","APC10_CAFA","Wrightia tinctoria",4656,70,1.5,"partly_dried",70,1.2,1.4,0.22314355131421
"CAFA","APC10","APC10_CAFA","Acacia chundra",4657,65,1.9,"partly_dried",70,1.1,1.4,0.54654370636807
"CAFA","APC12","APC12_CAFA","Acacia chundra",4658,120,2.2,"none",80,0.6,1.92,1.29928298413026
"CAFA","APC12","APC12_CAFA","Acacia chundra",4659,60,1.3,"none",58,0.8,1.92,0.485507815781701
"CAFA","APC12","APC12_CAFA","Acacia chundra",4660,60,0.6,"none",60,0.8,1.92,-0.287682072451781
"CAFA","APC12","APC12_CAFA","Acacia chundra",4661,45,0.8,"none",100,1.5,1.92,-0.628608659422374
"CAFA","APC12","APC12_CAFA","Acacia chundra",4662,70,1.9,"none",88,1.6,1.92,0.171850256926659
"CAFA","APC12","APC12_CAFA","Acacia chundra",4663,70,1.1,"partly_dried",68,1.5,1.92,-0.310154928303839
"CAFA","APC12","APC12_CAFA","Acacia chundra",4664,80,0.6,"partly_dried",63,0.7,1.92,-0.154150679827258
"CAFA","APC12","APC12_CAFA","Acacia chundra",4665,100,1.1,"none",100,1.8,1.92,-0.492476485097794
"CAFA","APC12","APC12_CAFA","Acacia chundra",4666,85,1.2,"none",70,1.3,1.92,-0.0800427076735365
"CAFA","APC12","APC12_CAFA","Acacia chundra",4668,150,3.3,"none",70,0.8,1.92,1.41706601978664
