"","sci.name","lat","long","altitude","treatment"
"132","Soymida febrifuga","14.058586666666667","78.33758166666667",528.7,"CPFA"
"133","Pongamia pinnata","13.9057002","78.50209719",428,"CAFA"
"134","Dolichandrone atrovirens","13.82759297","78.41307402",452.2659302,"Control"
"135","Pongamia pinnata","13.90443525","78.50448054",432,"CAFA"
"136","Dolichandrone atrovirens","13.84350762","78.4210874",479.6376953,"CAFA"
"137","Dolichandrone atrovirens","14.11669141","78.3404928",401.2816162,"CAFA"
"138","Dalbergia paniculata","14.04070131","78.31737249",542.0400391,"CAFA"
"139","Tectona grandis","13.90510754","78.50433372",418,"CAFA"
"140","Dolichandrone atrovirens","13.93966257","78.49321183",461,"CAFA"
"141","Dolichandrone atrovirens","13.93997823","78.49543398",484,"CAFA"
"142","Cassia fistula","14.11815925","78.33352043",393.3590088,"CPFA"
"143","Dolichandrone atrovirens","13.80524418","78.41421944",500.2840576,"CAFA"
"144","Dolichandrone atrovirens","14.0214642","78.37985804",447,"CPFA"
"145","Dolichandrone atrovirens","13.93985281","78.49360308",468,"CAFA"
"146","Dolichandrone atrovirens","13.93985109","78.49349186",469,"CAFA"
"147","Dalbergia paniculata","13.87338377","78.52913245",443,"CAFA"
"148","Acacia chundra","13.85056793","78.44295377",479.2530518,"CPFA"
"149","Dolichandrone atrovirens","13.80560001","78.41427046",492.866394,"CAFA"
"150","Dolichandrone atrovirens","13.9398333","78.49349354",469,"CAFA"
"151","Dolichandrone atrovirens","13.94097922","78.49459352",451,"Control"
"152","Chloroxylon swietenia","13.94239967","78.50770299",424,"CPFA"
"153","Cassia fistula","13.86514153","78.39845394",406.612793,"CAFA"
"154","Acacia chundra","14.11849072","78.334596",400.1636963,"CAFA"
"155","Acacia chundra","14.069560000000001","78.31835333333333",551.8,"CAFA"
"156","Acacia chundra","13.85040527","78.44363961",487.8723755,"CPFA"
"157","Chloroxylon swietenia","13.82792729","78.41317348",466.0488281,"Control"
"158","Dolichandrone atrovirens","13.84873331","78.42895372",453,"CAFA"
"159","Dalbergia paniculata","14.04112573","78.31750118",537.9123535,"Control"
"160","Acacia chundra","14.11624642","78.34040341",400.0860596,"CAFA"
"161","Acacia chundra","13.89268361","78.41400076",434,"CPFA"
"162","Acacia chundra","14.11842301","78.33484978",415.8515625,"CAFA"
"163","Acacia chundra","13.89262556","78.41360368",442,"CPFA"
"164","Tectona grandis","13.89230365","78.48086009",466,"CPFA"
"165","Dolichandrone atrovirens","13.8277156","78.41313019",471.0770264,"Control"
"166","Azadirachata indica","13.8736408","78.52798604",437,"CAFA"
"167","Dalbergia paniculata","14.00858663","78.32090533",502.0343018,"CAFA"
"168","Acacia chundra","13.8457769","78.44873106",513.9482422,"CPFA"
"169","Tectona grandis","13.8957328","78.47726137",456,"CAFA"
"170","Dolichandrone atrovirens","13.80565286","78.4143081",493.5618896,"CAFA"
"171","Dolichandrone atrovirens","13.94086456","78.49468241",448,"Control"
"172","Dolichandrone atrovirens","13.93984293","78.4935286",468,"CAFA"
"173","Dolichandrone atrovirens","13.94013447","78.4953247",468,"CAFA"
"174","Dolichandrone atrovirens","13.85309101","78.4429928",509.6796265,"Control"
"175","Acacia chundra","13.84582202","78.44861895",517.7339478,"CPFA"
"176","Dolichandrone atrovirens","13.94031049","78.49542175",456,"CAFA"
"177","Gyrocarpus americanus","14.078581666666667","78.32950666666667",500.1,"CAFA"
"178","Dalbergia paniculata","14.065013333333331","78.31961666666666",532.2,"CAFA"
"179","Acacia chundra","14.11815821","78.33499921",408.043335,"CAFA"
"180","Chloroxylon swietenia","14.050863333333332","78.32469666666665",579.1,"CAFA"
"181","Chloroxylon swietenia","13.94265534","78.50767421",409,"CPFA"
"182","Chloroxylon swietenia","13.82766194","78.41316721",480.6459351,"Control"
"183","Dolichandrone atrovirens","13.93970634","78.4931544",459,"CAFA"
"184","Dolichandrone atrovirens","14.11840846","78.33469764",398.3145752,"CAFA"
"185","Dolichandrone atrovirens","13.93973756","78.49338449",471,"CAFA"
"186","Dolichandrone atrovirens","13.93959538","78.4932692",475,"CAFA"
"187","Dolichandrone atrovirens","13.93961093","78.49329068",474,"CAFA"
"188","Dolichandrone atrovirens","13.94088377","78.49461135",452,"Control"
"189","Dolichandrone atrovirens","13.9396831","78.49328979",466,"CAFA"
"190","Dolichandrone atrovirens","13.93968062","78.49324316",475,"CAFA"
"191","Tamarindus indica","13.87383074","78.52805846",433,"CAFA"
"192","Cassia fistula","14.073023333333333","78.32021333333334",548.8,"Control"
"193","Dalbergia paniculata","14.064996666666666","78.319715",532.4,"CAFA"
"194","Chloroxylon swietenia","14.051588333333333","78.32454833333333",588.8,"CAFA"
"195","Acacia chundra","13.84584642","78.44860163",517.9237061,"CPFA"
"196","Dalbergia paniculata","14.064886666666666","78.319725",533.4,"CAFA"
"197","Dolichandrone atrovirens","13.93984055","78.49356348",465,"CAFA"
"198","Limonia acidissima","13.87329593","78.52937046",446,"CAFA"
"199","Carissa carandas","14.02779541","78.37591848",412,"Control"
"200","Dolichandrone atrovirens","13.84348678","78.42113938",487.6100464,"CAFA"
"201","Dolichandrone atrovirens","13.93984491","78.49358452",465,"CAFA"
"202","Dolichandrone atrovirens","13.93964617","78.49324239",472,"CAFA"
"203","Dolichandrone atrovirens","13.84576371","78.44836632",506.4486084,"CPFA"
"204","Chloroxylon swietenia","14.02249063","78.38123701",451,"CAFA"
"205","Dolichandrone atrovirens","13.94074466","78.49432419",443,"Control"
"206","Dolichandrone atrovirens","13.93974409","78.49352855",464,"CAFA"
"207","Dolichandrone atrovirens","13.94070121","78.49421453",424,"Control"
"208","Acacia chundra","14.11835814","78.33471955",402.8436279,"CAFA"
"209","Azadirachata indica","14.058341666666669","78.33714333333334",529,"CPFA"
"210","Dalbergia paniculata","14.00868839","78.32076852",505.0006104,"CAFA"
"211","Cassia fistula","14.04136397","78.31833475",538.0395508,"Control"
"212","Acacia chundra","14.11625782","78.34030917",402.5698242,"CAFA"
"213","Chloroxylon swietenia","14.050683333333332","78.32430500000001",576.6,"CAFA"
"214","Acacia chundra","13.8942374","78.41322109",437.4665527,"CAFA"
"215","Acacia chundra","13.89256814","78.41369749",410,"CPFA"
"216","Acacia chundra","13.84580003","78.44847847",508.7994385,"CPFA"
"217","Cassia fistula","14.064858333333332","78.31972999999999",532.4,"CAFA"
"218","Acacia chundra","13.89261315","78.41358809",430,"CPFA"
"219","Acacia chundra","13.84576802","78.44838235",502.9470215,"CPFA"
"220","Wrightia tinctoria","14.064705","78.31954333333333",532.4,"CAFA"
"221","Acacia chundra","13.86531825","78.39845262",422.2953491,"CAFA"
"222","Wrightia tinctoria","13.86488088","78.39869167",422.9866333,"CAFA"
"223","Chloroxylon swietenia","13.82882083","78.41307557",440.3088989,"CAFA"
"224","Azadirachata indica","14.04040686","78.31747679",545.6171875,"CAFA"
"225","Wrightia tinctoria","13.86527626","78.39830979",421.2874756,"CAFA"
"226","Wrightia tinctoria","13.89368693","78.41345407",439.8873291,"CAFA"
"227","Acacia chundra","13.89424258","78.41321195",437.902832,"CAFA"
"228","Acacia chundra","13.89264979","78.41409174",434,"CPFA"
"229","Chloroxylon swietenia","13.82803554","78.41311241",464.0291138,"Control"
"230","Dolichandrone atrovirens","14.11834731","78.33489264",404.4110107,"CAFA"
"231","Acacia chundra","13.85048124","78.44356292",488.4768066,"CPFA"
"232","Dolichandrone atrovirens","13.85036603","78.44358455",487.8633423,"CPFA"
"233","Acacia chundra","13.89430432","78.41321656",430.3834229,"CAFA"
"234","Chloroxylon swietenia","13.87323193","78.52811394",452,"CAFA"
"235","Dolichandrone atrovirens","13.81480318","78.41887704",447.4458008,"CPFA"
"236","Chloroxylon swietenia","14.05089","78.32474833333335",577.2,"CAFA"
"237","Wrightia tinctoria","14.07237513","78.36364221",407,"CPFA"
"238","Acacia chundra","13.89266699","78.41403509",429,"CPFA"
"239","Dolichandrone atrovirens","13.80535613","78.41413805",489.0562744,"CAFA"
"240","Acacia chundra","13.85044732","78.4428908",484.4133301,"CPFA"
"241","Dolichandrone atrovirens","13.94005134","78.49524796",474,"CAFA"
"242","Dolichandrone atrovirens","13.94021399","78.4954272",470,"CAFA"
"243","Dolichandrone atrovirens","13.93987319","78.49363149",467,"CAFA"
"244","Dolichandrone atrovirens","13.86993715","78.41804973",433.2333984,"Control"
"245","Cassia fistula","14.11854338","78.33438339",408.871582,"CAFA"
"246","Acacia chundra","13.8457647","78.44845487",506.6036377,"CPFA"
"247","Acacia chundra","13.86194849","78.4334496",448.8086548,"Control"
"248","Cassia fistula","14.06486","78.31964500000001",532.4,"CAFA"
"249","Acacia chundra","14.11821795","78.3350133",422.6325684,"CAFA"
"250","Dalbergia paniculata","13.89513792","78.47731169",442,"CAFA"
"251","Dalbergia paniculata","14.00862586","78.32089424",487.5647583,"CAFA"
"252","Dalbergia paniculata","14.00884163","78.32025668",546.8468018,"CAFA"
"253","Dolichandrone atrovirens","13.83867807","78.41078401",528.704834,"CAFA"
"254","Premna tomentosa","13.80557358","78.41426365",491.137085,"CAFA"
"255","Dolichandrone atrovirens","13.8435665","78.42083989",464.0689697,"CAFA"
"256","Wrightia tinctoria","14.07236","78.36359375",400,"CPFA"
"257","Acacia chundra","13.89434298","78.41317732",410.605896,"CAFA"
"258","Dolichandrone atrovirens","13.84348048","78.42181466",470.6339111,"CAFA"
"259","Dolichandrone atrovirens","13.84351289","78.4210447",473.9798584,"CAFA"
"260","Dolichandrone atrovirens","13.93972914","78.49322892",466,"CAFA"
"261","Dolichandrone atrovirens","13.93983532","78.4936894",464,"CAFA"
"262","Dolichandrone atrovirens","14.02166734","78.37978911",454,"CPFA"
"263","Azadirachata indica","13.82792196","78.41317413",464.8465576,"Control"
"264","Pongamia pinnata","13.87353197","78.52802219",445,"CAFA"
"265","Dolichandrone atrovirens","13.80532923","78.41402541",505.8345947,"CAFA"
"266","Dolichandrone atrovirens","13.93973563","78.49327719",469,"CAFA"
"267","Dolichandrone atrovirens","13.93970768","78.49313961",456,"CAFA"
"268","Dolichandrone atrovirens","14.061548333333333","78.34231",564.3,"Control"
"269","Dolichandrone atrovirens","13.8435632","78.42139856",484.8971558,"CAFA"
"270","Dolichandrone atrovirens","13.93970171","78.493149",460,"CAFA"
"271","Acacia chundra","14.11628876","78.34033768",395.1466064,"CAFA"
"272","Acacia chundra","14.1185134","78.33443341",403.1229858,"CAFA"
"273","Erythroxylum monogynum","14.00914552","78.32014771",521.1751099,"CPFA"
"274","Dalbergia paniculata","14.073386666666666","78.32057",544.4,"Control"
"275","Acacia chundra","13.82874895","78.41306176",468.998291,"CAFA"
"276","Acacia chundra","13.89253436","78.41353992",443,"CPFA"
"277","Chloroxylon swietenia","14.051364999999999","78.32454",589,"CAFA"
"278","Dolichandrone atrovirens","13.83892338","78.41071902",529.7615967,"CAFA"
"279","Tectona grandis","13.8488444","78.42894411",452,"CAFA"
"280","Chloroxylon swietenia","13.94239443","78.50765322",410,"CPFA"
"281","Ziziphus mauritiana","14.06352383","78.35492269",427,"CAFA"
"282","Dolichandrone atrovirens","13.83706505","78.41067833",511.654541,"Control"
"283","Cassia fistula","13.94282288","78.50789166",408,"CPFA"
"284","Chloroxylon swietenia","13.94281189","78.50777818",407,"CPFA"
"285","Dolichandrone atrovirens","13.86998764","78.4179282",435.8178711,"Control"
"286","Tectona grandis","13.89504245","78.47712338",449,"CAFA"
"287","Dolichandrone atrovirens","13.9404125","78.49550574",465,"CAFA"
"288","Dolichandrone atrovirens","13.84877941","78.4288614",455,"CAFA"
"289","Pongamia pinnata","13.87327726","78.52938291",449,"CAFA"
"290","Azadirachata indica","13.82791636","78.41316684",465.8650513,"Control"
"291","Acacia chundra","13.89432723","78.41316922",435.8460693,"CAFA"
"292","Cassia fistula","14.058573333333333","78.34402666666666",555.5,"CPFA"
"293","Dolichandrone atrovirens","13.93970983","78.49326506",462,"CAFA"
"294","Dolichandrone atrovirens","13.93966481","78.49321736",461,"CAFA"
"295","Chloroxylon swietenia","14.051201666666667","78.32468999999999",589.1,"CAFA"
"296","Pongamia pinnata","14.058556666666668","78.337525",529.2,"CPFA"
"297","Wrightia tinctoria","14.11843151","78.33479258",402.208374,"CAFA"
"298","Azadirachata indica","14.00880895","78.32046932",530.9885254,"CAFA"
"299","Dalbergia paniculata","14.069179999999998","78.31814833333333",552.5,"CAFA"
"300","Dolichandrone atrovirens","13.80536709","78.41414809",489.1959229,"CAFA"
"301","Dolichandrone atrovirens","14.11825393","78.33402277",402.1884766,"CPFA"
"302","Dolichandrone atrovirens","13.94038619","78.49544768",500,"CAFA"
"303","Cassia fistula","13.8732266","78.5281177",457,"CAFA"
"304","Dalbergia paniculata","14.069366666666667","78.31827833333334",552.1,"CAFA"
"305","Dolichandrone atrovirens","13.9396551","78.4931966",459,"CAFA"
"306","Acacia chundra","13.8619765","78.43266102",454.515625,"Control"
"307","Albizia lebbeck","13.81481473","78.41885467",449.5847168,"CPFA"
"308","Dolichandrone atrovirens","13.93977413","78.49535237",474,"CAFA"
"309","Wrightia tinctoria","14.073006666666666","78.32036833333333",554.5,"Control"
"310","Acacia chundra","14.11829478","78.33382101",387.7120361,"CPFA"
"311","Dalbergia paniculata","14.00870468","78.32072303",504.7241211,"CAFA"
"312","Dalbergia paniculata","14.00872816","78.32065671",500.7401123,"CAFA"
"313","Erythroxylum monogynum","13.85034436","78.44375361",494.3773804,"CPFA"
"314","Acacia chundra","13.89257807","78.41392014",430,"CPFA"
"315","Erythroxylum monogynum","13.85038605","78.44346417",477.6759033,"CPFA"
"316","Acacia chundra","13.89261768","78.41359412",429,"CPFA"
"317","Acacia chundra","13.89258597","78.41361988",431,"CPFA"
"318","Erythroxylum monogynum","14.04051446","78.31728956",539.140625,"CAFA"
"319","Acacia chundra","14.11814161","78.33499775",411.2944336,"CAFA"
"320","Dolichandrone atrovirens","13.83878877","78.41061682",524.8681641,"CAFA"
"321","Acacia chundra","13.89438346","78.41311123",415.9261475,"CAFA"
"322","Acacia chundra","13.89385199","78.41333671",446.104126,"CAFA"
"323","Acacia chundra","13.89261763","78.41359733",429,"CPFA"
"324","Dalbergia paniculata","13.89516173","78.47735184",441,"CAFA"
"325","Dalbergia paniculata","13.93993022","78.49538711",477,"CAFA"
"326","Premna tomentosa","14.11651099","78.34046322",404.434082,"CAFA"
"327","Dolichandrone atrovirens","13.83841402","78.41049992",519.7314453,"CAFA"
"328","Dolichandrone atrovirens","13.84585646","78.44844006",522.0407104,"CPFA"
"329","Dolichandrone atrovirens","14.11856741","78.33435108",415.2107544,"CAFA"
"330","Dolichandrone atrovirens","13.83875635","78.41072326",526.8193359,"CAFA"
"331","Chloroxylon swietenia","13.82752389","78.41306304",458.3244629,"Control"
"332","Acacia chundra","13.89373895","78.41339842",445.7299805,"CAFA"
"333","Dolichandrone atrovirens","13.82789975","78.41305557",469.7514648,"Control"
"334","Wrightia tinctoria","13.80483216","78.41403465",499.3552246,"CAFA"
"335","Dolichandrone atrovirens","13.93970823","78.49314012",457,"CAFA"
"336","Dolichandrone atrovirens","14.058495","78.33704666666667",542.6,"CPFA"
"337","Acacia chundra","13.84571518","78.44894838",504.7456665,"CPFA"
"338","Dolichandrone atrovirens","13.8051894","78.41411308",510.7154541,"CAFA"
"339","Dolichandrone atrovirens","14.01922239","78.38247536",441,"CAFA"
"340","Dolichandrone atrovirens","13.93967035","78.49342205",479,"CAFA"
"341","Wrightia tinctoria","14.07277262","78.36366415",412,"CPFA"
"342","Wrightia tinctoria","14.11658183","78.34054314",398.1914063,"CAFA"
"343","Dolichandrone atrovirens","13.94024471","78.4953977",459,"CAFA"
"344","Dolichandrone atrovirens","13.93993757","78.49541331",481,"CAFA"
"345","Dolichandrone atrovirens","13.85284371","78.44293489",486.4718018,"Control"
"346","Carissa carandas","14.058294999999998","78.33690333333334",529.9,"CPFA"
"347","Azadirachata indica","13.87382962","78.5280688",433,"CAFA"
"348","Dolichandrone atrovirens","14.02150373","78.38101421",457,"CAFA"
"349","Dolichandrone atrovirens","14.058601666666668","78.33742000000001",539.3,"CPFA"
"350","Chloroxylon swietenia","14.050960000000002","78.32475333333333",580.4,"CAFA"
"351","Dolichandrone atrovirens","13.93966309","78.49324683",464,"CAFA"
"352","Tectona grandis","13.905569","78.50212089",443,"CAFA"
"353","Diospyros melanoxylon","13.84885058","78.42887641",465.0855713,"CAFA"
"354","Dolichandrone atrovirens","13.86998646","78.41789695",435.1911621,"Control"
"355","Dalbergia paniculata","14.051126666666669","78.32475500000001",578.9,"CAFA"
"356","Acacia chundra","13.89433838","78.41314892",415.5033569,"CAFA"
"357","Acacia chundra","13.84577964","78.44875077",516.0797119,"CPFA"
"358","Pongamia pinnata","13.9399372","78.49539628",476,"CAFA"
"359","Limonia acidissima","13.87345934","78.52887796",446,"CAFA"
"360","Dolichandrone atrovirens","14.055346666666667","78.343015",486.9,"CAFA"
"361","Dolichandrone atrovirens","14.0217653","78.38094361",467,"CAFA"
"362","Dolichandrone atrovirens","13.94022882","78.49540559",462,"CAFA"
"363","Chloroxylon swietenia","13.82824215","78.41299774",470.3259888,"Control"
"364","Dolichandrone atrovirens","13.93986582","78.49362528",466,"CAFA"
"365","Dolichandrone atrovirens","13.84350834","78.42166727",479.1044922,"CAFA"
"366","Dolichandrone atrovirens","13.84886145","78.42892564",466.9056396,"CAFA"
"367","Acacia leucophloea","14.078524999999997","78.32983333333333",532.5,"CAFA"
"368","Dalbergia paniculata","13.83809032","78.41066845",506.9510498,"CAFA"
"369","Wrightia tinctoria","14.073350000000001","78.32039666666667",543.6,"Control"
"370","Chloroxylon swietenia","14.02245639","78.38138464",460,"CAFA"
"371","Dolichandrone atrovirens","13.8435148","78.42176348",482.3696289,"CAFA"
"372","Gyrocarpus americanus","14.078488333333333","78.32986166666666",531.7,"CAFA"
"373","Dolichandrone atrovirens","13.94031382","78.49543213",460,"CAFA"
"374","Acacia chundra","13.8281177","78.41296374",473.5197754,"Control"
"375","Acacia chundra","14.11805823","78.33342224",391.0299072,"CPFA"
