site_code,sapling_name,sapling_tag_no,treatment,type_recruit,Note on revisit,sapling_coordinate,sapling_altitude,sapling_coordinate-accuracy,sapling_height (cm),sapling_rcd (cm),sapling_line_to_sapling (m),sapling_to_sapling (m),sapling_disturbance,PARENT_KEY,KEY,site
APA19,Chloroxylon swietenia,1004,bodha_grass_removed_no_fire,seedling recruitment,,"14.05089,78.32474833333335",577.2,4.9,70,1.5,4,1.5,none,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d/sapling_repeat[5],APA19bodha_grass_removed_no_fire
APA15,Wrightia tinctoria,3867,bodha_grass_present_no_fire,clonal offspring,,"14.07237513,78.36364221",407,4.288,70,1.5,9,0,none,uuid:e5a70f6f-46f5-47f8-a9d9-0f855653ec2d,uuid:e5a70f6f-46f5-47f8-a9d9-0f855653ec2d/sapling_repeat[5],APA15bodha_grass_present_no_fire
APC12,Acacia chundra,4699,bodha_grass_present_no_fire,clonal offspring,,"13.89266699,78.41403509",429,4.5509996,70,1.6,6,9,none,uuid:21ad8535-3e2e-4066-88cc-bec794453533,uuid:21ad8535-3e2e-4066-88cc-bec794453533/sapling_repeat[20],APC12bodha_grass_present_no_fire
APC5,Dolichandrone atrovirens,1338,bodha_grass_removed_no_fire,seedling recruitment,,"13.80535613,78.41413805",489.0562744,3.216,70,1.6,6,1.5,none,uuid:3397899f-3f93-461a-9440-5e50d5cb21f8,uuid:3397899f-3f93-461a-9440-5e50d5cb21f8/sapling_repeat[12],APC5bodha_grass_removed_no_fire
APC1,Acacia chundra,1083,bodha_grass_present_no_fire,clonal offspring,,"13.85044732,78.4428908",484.4133301,3.216,70,1.7,7,3.5,none,uuid:a332e100-79f6-41db-9d9f-0482892368f4,uuid:a332e100-79f6-41db-9d9f-0482892368f4/sapling_repeat[24],APC1bodha_grass_present_no_fire
APC7,Dolichandrone atrovirens,4564,bodha_grass_removed_no_fire,seedling recruitment,,"13.94005134,78.49524796",474,4.288,70,1.7,7,1.5,none,uuid:d77f3969-5887-4716-bd14-d969a8ab9752,uuid:d77f3969-5887-4716-bd14-d969a8ab9752/sapling_repeat[19],APC7bodha_grass_removed_no_fire
APC7,Dolichandrone atrovirens,4556,bodha_grass_removed_no_fire,seedling recruitment,,"13.94021399,78.4954272",470,4.288,70,1.7,1.5,0.3,none,uuid:d77f3969-5887-4716-bd14-d969a8ab9752,uuid:d77f3969-5887-4716-bd14-d969a8ab9752/sapling_repeat[11],APC7bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,1310,bodha_grass_removed_no_fire,seedling recruitment,,"13.93987319,78.49363149",467,4.288,70,2.5,5,1.2,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[82],APC6bodha_grass_removed_no_fire
APC12,Dolichandrone atrovirens,4956,all_burnt,clonal offspring,,"13.86993715,78.41804973",433.2333984,3.216,70,3.1,7,6.5,none,uuid:bec5093d-0eb3-46a5-b0c2-77590f620871,uuid:bec5093d-0eb3-46a5-b0c2-77590f620871/sapling_repeat[15],APC12all_burnt
APA17,Cassia fistula,4751,bodha_grass_removed_no_fire,clonal offspring,,"14.11854338,78.33438339",408.871582,4.288,69,0.9,3,9,none,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3/sapling_repeat[18],APA17bodha_grass_removed_no_fire
APC4,Acacia chundra,1447,bodha_grass_present_no_fire,seedling recruitment,,"13.8457647,78.44845487",506.6036377,4.288,69,1.1,3.5,6,none,uuid:65cc4ceb-42ae-43e1-9f3e-daae5612fa8f,uuid:65cc4ceb-42ae-43e1-9f3e-daae5612fa8f/sapling_repeat[6],APC4bodha_grass_present_no_fire
APC10,Acacia chundra,4976,all_burnt,clonal offspring,,"13.86194849,78.4334496",448.8086548,4.288,68,0.5,2,2,none,uuid:14440c18-36dc-47b8-adc8-31f8f686e799,uuid:14440c18-36dc-47b8-adc8-31f8f686e799/sapling_repeat[25],APC10all_burnt
APA1,Cassia fistula,3458,bodha_grass_removed_no_fire,clonal offspring,,"14.06486,78.31964500000001",532.4,5,68,0.8,7,3,none,uuid:d017be59-bbc1-47bd-a044-da7cac8c4de3,uuid:d017be59-bbc1-47bd-a044-da7cac8c4de3/sapling_repeat[11],APA1bodha_grass_removed_no_fire
APA17,Acacia chundra,4744,bodha_grass_removed_no_fire,clonal offspring,,"14.11821795,78.3350133",422.6325684,3.216,68,0.8,5,5,none,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3/sapling_repeat[25],APA17bodha_grass_removed_no_fire
APC2,Dalbergia paniculata,3739,bodha_grass_removed_no_fire,seedling recruitment,,"13.89513792,78.47731169",442,4.288,68,0.8,7,0.3,none,uuid:bcf824e4-8cc6-43d5-8793-f9088bf2ffad,uuid:bcf824e4-8cc6-43d5-8793-f9088bf2ffad/sapling_repeat[4],APC2bodha_grass_removed_no_fire
APA21,Dalbergia paniculata,4948,bodha_grass_removed_no_fire,clonal offspring,,"14.00862586,78.32089424",487.5647583,4.288,68,0.9,3.5,2,none,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637/sapling_repeat[4],APA21bodha_grass_removed_no_fire
APA21,Dalbergia paniculata,4933,bodha_grass_removed_no_fire,clonal offspring,,"14.00884163,78.32025668",546.8468018,4.288,68,1.1,8,3,none,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637/sapling_repeat[19],APA21bodha_grass_removed_no_fire
APC11,Dolichandrone atrovirens,4601,bodha_grass_removed_no_fire,seedling recruitment,,"13.83867807,78.41078401",528.704834,4.288,68,1.2,6,2,none,uuid:9a5a4b85-8fb8-4992-b130-6b0315bd0041,uuid:9a5a4b85-8fb8-4992-b130-6b0315bd0041/sapling_repeat[26],APC11bodha_grass_removed_no_fire
APC5,Premna tomentosa,1331,bodha_grass_removed_no_fire,clonal offspring,,"13.80557358,78.41426365",491.137085,4.288,68,1.3,6,3.5,none,uuid:3397899f-3f93-461a-9440-5e50d5cb21f8,uuid:3397899f-3f93-461a-9440-5e50d5cb21f8/sapling_repeat[5],APC5bodha_grass_removed_no_fire
APC4,Dolichandrone atrovirens,1432,bodha_grass_removed_no_fire,seedling recruitment,,"13.8435665,78.42083989",464.0689697,3.216,68,1.4,2,2,none,uuid:37f64765-28d3-4653-bf05-db1cbf1ba2e7,uuid:37f64765-28d3-4653-bf05-db1cbf1ba2e7/sapling_repeat[15],APC4bodha_grass_removed_no_fire
APA15,Wrightia tinctoria,3872,bodha_grass_present_no_fire,seedling recruitment,,"14.07236,78.36359375",400,3.216,68,1.5,8,2,none,uuid:e5a70f6f-46f5-47f8-a9d9-0f855653ec2d,uuid:e5a70f6f-46f5-47f8-a9d9-0f855653ec2d/sapling_repeat[6],APA15bodha_grass_present_no_fire
APC12,Acacia chundra,4663,bodha_grass_removed_no_fire,clonal offspring,,"13.89434298,78.41317732",410.605896,4.288,68,1.5,5,1.5,none,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4/sapling_repeat[6],APC12bodha_grass_removed_no_fire
APC4,Dolichandrone atrovirens,1418,bodha_grass_removed_no_fire,seedling recruitment,,"13.84348048,78.42181466",470.6339111,4.288,68,1.6,5,1,none,uuid:37f64765-28d3-4653-bf05-db1cbf1ba2e7,uuid:37f64765-28d3-4653-bf05-db1cbf1ba2e7/sapling_repeat[1],APC4bodha_grass_removed_no_fire
APC4,Dolichandrone atrovirens,1431,bodha_grass_removed_no_fire,seedling recruitment,,"13.84351289,78.4210447",473.9798584,3.216,68,1.7,4,1.7,none,uuid:37f64765-28d3-4653-bf05-db1cbf1ba2e7,uuid:37f64765-28d3-4653-bf05-db1cbf1ba2e7/sapling_repeat[14],APC4bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,1337,bodha_grass_removed_no_fire,seedling recruitment,,"13.93972914,78.49322892",466,4.288,68,2,8.5,1.7,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[50],APC6bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,1328,bodha_grass_removed_no_fire,seedling recruitment,,"13.93983532,78.4936894",464,4.288,68,2.7,5,1.5,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[92],APC6bodha_grass_removed_no_fire
APA7,Dolichandrone atrovirens,3927,bodha_grass_present_no_fire,clonal offspring,,"14.02166734,78.37978911",454,3.216,67,1.4,3,5,none,uuid:b0f141d5-4d19-4799-9f27-58d25a22627f,uuid:b0f141d5-4d19-4799-9f27-58d25a22627f/sapling_repeat[2],APA7bodha_grass_present_no_fire
APC3,Azadirachata indica,1313,all_burnt,clonal offspring,from an old sapling,"13.82792196,78.41317413",464.8465576,4.288,66,0.8,6,0.3,none,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4/sapling_repeat[14],APC3all_burnt
APC8,Pongamia pinnata,3725,bodha_grass_removed_no_fire,seedling recruitment,,"13.87353197,78.52802219",445,4.288,66,0.8,0,2,none,uuid:29d8362e-6fe7-465c-9c5d-61e347224d38,uuid:29d8362e-6fe7-465c-9c5d-61e347224d38/sapling_repeat[16],APC8bodha_grass_removed_no_fire
APC5,Dolichandrone atrovirens,1339,bodha_grass_removed_no_fire,seedling recruitment,,"13.80532923,78.41402541",505.8345947,4.288,66,1.3,6.5,0.2,none,uuid:3397899f-3f93-461a-9440-5e50d5cb21f8,uuid:3397899f-3f93-461a-9440-5e50d5cb21f8/sapling_repeat[13],APC5bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,1307,bodha_grass_removed_no_fire,seedling recruitment,,"13.93973563,78.49327719",469,4.288,66,1.4,0,0,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[57],APC6bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,1388,bodha_grass_removed_no_fire,seedling recruitment,,"13.93970768,78.49313961",456,4.288,66,1.5,8,1,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[3],APC6bodha_grass_removed_no_fire
APA19,Dolichandrone atrovirens,1047,all_burnt,clonal offspring,from an old sapling,"14.061548333333333,78.34231",564.3,4.7,66,1.9,9,1,none,uuid:11c29288-4ab9-4a27-a5f8-338e602ddcb2,uuid:11c29288-4ab9-4a27-a5f8-338e602ddcb2/sapling_repeat[4],APA19all_burnt
APC4,Dolichandrone atrovirens,1426,bodha_grass_removed_no_fire,seedling recruitment,,"13.8435632,78.42139856",484.8971558,3.216,66,1.9,4,2,none,uuid:37f64765-28d3-4653-bf05-db1cbf1ba2e7,uuid:37f64765-28d3-4653-bf05-db1cbf1ba2e7/sapling_repeat[9],APC4bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,1389,bodha_grass_removed_no_fire,seedling recruitment,,"13.93970171,78.493149",460,4.288,66,1.9,6,0.1,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[7],APC6bodha_grass_removed_no_fire
APA16,Acacia chundra,4781,bodha_grass_removed_no_fire,seedling recruitment,,"14.11628876,78.34033768",395.1466064,4.288,65,0.5,9,8,none,uuid:3edaa534-46c6-41e7-a507-38160aa7c0ed,uuid:3edaa534-46c6-41e7-a507-38160aa7c0ed/sapling_repeat[7],APA16bodha_grass_removed_no_fire
APA17,Acacia chundra,4753,bodha_grass_removed_no_fire,seedling recruitment,,"14.1185134,78.33443341",403.1229858,4.288,65,0.6,5,10,none,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3/sapling_repeat[16],APA17bodha_grass_removed_no_fire
APA21,Erythroxylum monogynum,4923,bodha_grass_present_no_fire,clonal offspring,,"14.00914552,78.32014771",521.1751099,3.216,65,0.6,7,0,none,uuid:60e6377a-4974-41ee-b8a2-2d982e987deb,uuid:60e6377a-4974-41ee-b8a2-2d982e987deb/sapling_repeat[4],APA21bodha_grass_present_no_fire
APA1,Dalbergia paniculata,1180,all_burnt,clonal offspring,from an old sapling,"14.073386666666666,78.32057",544.4,3.9,65,0.7,5,6,browsed,uuid:e2b89ba3-8b34-432a-b7d5-35112e40b29d,uuid:e2b89ba3-8b34-432a-b7d5-35112e40b29d/sapling_repeat[6],APA1all_burnt
APC3,Acacia chundra,1469,bodha_grass_removed_no_fire,seedling recruitment,,"13.82874895,78.41306176",468.998291,4.288,65,0.7,2.5,2.5,none,uuid:3571d744-1048-4797-a485-5e341e06d360,uuid:3571d744-1048-4797-a485-5e341e06d360/sapling_repeat[3],APC3bodha_grass_removed_no_fire
APC12,Acacia chundra,4682,bodha_grass_present_no_fire,seedling recruitment,,"13.89253436,78.41353992",443,4.5509996,65,0.8,4,8,none,uuid:21ad8535-3e2e-4066-88cc-bec794453533,uuid:21ad8535-3e2e-4066-88cc-bec794453533/sapling_repeat[3],APC12bodha_grass_present_no_fire
APA19,Chloroxylon swietenia,1021,bodha_grass_removed_no_fire,seedling recruitment,,"14.051364999999999,78.32454",589,4.6,65,0.9,5,3,none,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d/sapling_repeat[21],APA19bodha_grass_removed_no_fire
APC11,Dolichandrone atrovirens,1397,bodha_grass_removed_no_fire,seedling recruitment,,"13.83892338,78.41071902",529.7615967,4.288,65,1.1,6,1.5,none,uuid:9a5a4b85-8fb8-4992-b130-6b0315bd0041,uuid:9a5a4b85-8fb8-4992-b130-6b0315bd0041/sapling_repeat[22],APC11bodha_grass_removed_no_fire
APC1,Tectona grandis,1006,bodha_grass_removed_no_fire,seedling recruitment,,"13.8488444,78.42894411",452,4.288,65,1.1,9,7,none,uuid:aeb680bf-0d6c-465a-b898-46f2dd43a01e,uuid:1bba5eee-3eda-4d8a-ba40-2a8f3bb568f7/sapling_repeat[1],APC1bodha_grass_removed_no_fire
APC7,Chloroxylon swietenia,3707,bodha_grass_present_no_fire,seedling recruitment,,"13.94239443,78.50765322",410,4.288,65,1.3,0,0.5,none,uuid:5ae5bcfd-0dd3-4101-86a7-9360a79f93e3,uuid:5ae5bcfd-0dd3-4101-86a7-9360a79f93e3/sapling_repeat[20],APC7bodha_grass_present_no_fire
APA5,Ziziphus mauritiana,3863,bodha_grass_removed_no_fire,clonal offspring,,"14.06352383,78.35492269",427,4.288,65,1.4,5,0,none,uuid:ed413bc2-94f4-4efc-8362-c3a59a7938fd,uuid:ed413bc2-94f4-4efc-8362-c3a59a7938fd/sapling_repeat[6],APA5bodha_grass_removed_no_fire
APC11,Dolichandrone atrovirens,4629,all_burnt,clonal offspring,from an old sapling,"13.83706505,78.41067833",511.654541,4.288,65,1.4,6,4,none,uuid:a87bc91e-a1aa-46de-a276-50289305c340,uuid:a87bc91e-a1aa-46de-a276-50289305c340/sapling_repeat[24],APC11all_burnt
APC7,Cassia fistula,3749,bodha_grass_present_no_fire,clonal offspring,,"13.94282288,78.50789166",408,4.288,65,1.4,2,4,none,uuid:5ae5bcfd-0dd3-4101-86a7-9360a79f93e3,uuid:5ae5bcfd-0dd3-4101-86a7-9360a79f93e3/sapling_repeat[6],APC7bodha_grass_present_no_fire
APC7,Chloroxylon swietenia,3733,bodha_grass_present_no_fire,seedling recruitment,,"13.94281189,78.50777818",407,4.288,65,1.5,7,2,none,uuid:5ae5bcfd-0dd3-4101-86a7-9360a79f93e3,uuid:5ae5bcfd-0dd3-4101-86a7-9360a79f93e3/sapling_repeat[5],APC7bodha_grass_present_no_fire
APC12,Dolichandrone atrovirens,4953,all_burnt,clonal offspring,,"13.86998764,78.4179282",435.8178711,4.288,64,0.8,6.5,15,none,uuid:bec5093d-0eb3-46a5-b0c2-77590f620871,uuid:bec5093d-0eb3-46a5-b0c2-77590f620871/sapling_repeat[18],APC12all_burnt
APC2,Tectona grandis,3720,bodha_grass_removed_no_fire,seedling recruitment,,"13.89504245,78.47712338",449,4.288,64,2.1,9,3,none,uuid:bcf824e4-8cc6-43d5-8793-f9088bf2ffad,uuid:bcf824e4-8cc6-43d5-8793-f9088bf2ffad/sapling_repeat[1],APC2bodha_grass_removed_no_fire
APC7,Dolichandrone atrovirens,4562,bodha_grass_removed_no_fire,seedling recruitment,,"13.9404125,78.49550574",465,4.288,64,3.2,0,1.5,none,uuid:d77f3969-5887-4716-bd14-d969a8ab9752,uuid:d77f3969-5887-4716-bd14-d969a8ab9752/sapling_repeat[3],APC7bodha_grass_removed_no_fire
APC1,Dolichandrone atrovirens,1016,bodha_grass_removed_no_fire,seedling recruitment,,"13.84877941,78.4288614",455,4.288,63,0.3,3.9,1,none,uuid:aeb680bf-0d6c-465a-b898-46f2dd43a01e,uuid:1bba5eee-3eda-4d8a-ba40-2a8f3bb568f7/sapling_repeat[10],APC1bodha_grass_removed_no_fire
APC9,Pongamia pinnata,3765,bodha_grass_removed_no_fire,seedling recruitment,,"13.87327726,78.52938291",449,4.288,63,0.4,5,5,none,uuid:9268941b-f621-4c93-9f29-62355a40e2af,uuid:9268941b-f621-4c93-9f29-62355a40e2af/sapling_repeat[28],APC9bodha_grass_removed_no_fire
APC3,Azadirachata indica,1314,all_burnt,clonal offspring,from an old sapling,"13.82791636,78.41316684",465.8650513,3.216,63,0.5,6,0.6,none,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4/sapling_repeat[15],APC3all_burnt
APC12,Acacia chundra,4664,bodha_grass_removed_no_fire,seedling recruitment,,"13.89432723,78.41316922",435.8460693,3.216,63,0.7,7,4.5,none,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4/sapling_repeat[7],APC12bodha_grass_removed_no_fire
APA19,Cassia fistula,3401,bodha_grass_present_no_fire,seedling recruitment,,"14.058573333333333,78.34402666666666",555.5,4.5,63,1.4,2,3,none,uuid:0b5b9043-f849-4a34-94d5-508357d2caac,uuid:0b5b9043-f849-4a34-94d5-508357d2caac/sapling_repeat[1],APA19bodha_grass_present_no_fire
APC6,Dolichandrone atrovirens,1333,bodha_grass_removed_no_fire,seedling recruitment,,"13.93970983,78.49326506",462,4.288,63,1.9,2,1,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[38],APC6bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,1374,bodha_grass_removed_no_fire,seedling recruitment,,"13.93966481,78.49321736",461,4.288,63,1.9,0,1.4,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[28],APC6bodha_grass_removed_no_fire
APA19,Chloroxylon swietenia,1019,bodha_grass_removed_no_fire,seedling recruitment,,"14.051201666666667,78.32468999999999",589.1,5,62,0.5,3,1.5,none,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d/sapling_repeat[19],APA19bodha_grass_removed_no_fire
APA18,Pongamia pinnata,1109,bodha_grass_present_no_fire,seedling recruitment,,"14.058556666666668,78.337525",529.2,3.2,62,0.8,7,2,none,uuid:33e246ea-50de-4bc0-ba17-535cd85563b4,uuid:33e246ea-50de-4bc0-ba17-535cd85563b4/sapling_repeat[9],APA18bodha_grass_present_no_fire
APA17,Wrightia tinctoria,4746,bodha_grass_removed_no_fire,clonal offspring,,"14.11843151,78.33479258",402.208374,4.288,62,1.1,8,3,none,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3/sapling_repeat[23],APA17bodha_grass_removed_no_fire
APA21,Azadirachata indica,4932,bodha_grass_removed_no_fire,seedling recruitment,,"14.00880895,78.32046932",530.9885254,4.288,62,1.1,5.5,1,none,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637/sapling_repeat[20],APA21bodha_grass_removed_no_fire
APA2,Dalbergia paniculata,1122,bodha_grass_removed_no_fire,seedling recruitment,,"14.069179999999998,78.31814833333333",552.5,5,62,1.3,7,4,none,uuid:f2977bb8-a9ce-4e7e-9b7f-495c1c9e7f47,uuid:f2977bb8-a9ce-4e7e-9b7f-495c1c9e7f47/sapling_repeat[10],APA2bodha_grass_removed_no_fire
APC5,Dolichandrone atrovirens,1335,bodha_grass_removed_no_fire,seedling recruitment,,"13.80536709,78.41414809",489.1959229,4.288,62,1.3,6,2.2,none,uuid:3397899f-3f93-461a-9440-5e50d5cb21f8,uuid:3397899f-3f93-461a-9440-5e50d5cb21f8/sapling_repeat[9],APC5bodha_grass_removed_no_fire
APA17,Dolichandrone atrovirens,4742,bodha_grass_present_no_fire,seedling recruitment,,"14.11825393,78.33402277",402.1884766,4.288,62,1.7,9,12,none,uuid:02f207ad-3edd-4db8-8f20-abc63430a887,uuid:02f207ad-3edd-4db8-8f20-abc63430a887/sapling_repeat[1],APA17bodha_grass_present_no_fire
APC7,Dolichandrone atrovirens,4571,bodha_grass_removed_no_fire,seedling recruitment,,"13.94038619,78.49544768",500,4.288,62,2.2,0,0.6,none,uuid:d77f3969-5887-4716-bd14-d969a8ab9752,uuid:d77f3969-5887-4716-bd14-d969a8ab9752/sapling_repeat[1],APC7bodha_grass_removed_no_fire
APC8,Cassia fistula,3706,bodha_grass_removed_no_fire,clonal offspring,,"13.8732266,78.5281177",457,4.288,61,0.9,8,3,none,uuid:29d8362e-6fe7-465c-9c5d-61e347224d38,uuid:29d8362e-6fe7-465c-9c5d-61e347224d38/sapling_repeat[21],APC8bodha_grass_removed_no_fire
APA2,Dalbergia paniculata,1109,bodha_grass_removed_no_fire,clonal offspring,,"14.069366666666667,78.31827833333334",552.1,5,61,1.1,5,2,none,uuid:f2977bb8-a9ce-4e7e-9b7f-495c1c9e7f47,uuid:f2977bb8-a9ce-4e7e-9b7f-495c1c9e7f47/sapling_repeat[7],APA2bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,1340,bodha_grass_removed_no_fire,seedling recruitment,,"13.9396551,78.4931966",459,4.288,61,1.4,3,0.6,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[23],APC6bodha_grass_removed_no_fire
APC10,Acacia chundra,4998,all_burnt,clonal offspring,,"13.8619765,78.43266102",454.515625,4.288,60,0.4,5,1,none,uuid:14440c18-36dc-47b8-adc8-31f8f686e799,uuid:14440c18-36dc-47b8-adc8-31f8f686e799/sapling_repeat[3],APC10all_burnt
APC5,Albizia lebbeck,1373,bodha_grass_present_no_fire,seedling recruitment,,"13.81481473,78.41885467",449.5847168,4.288,60,0.4,9,3,none,uuid:fbd147db-7b17-4081-9500-41386984a897,uuid:fbd147db-7b17-4081-9500-41386984a897/sapling_repeat[7],APC5bodha_grass_present_no_fire
APC7,Dolichandrone atrovirens,4533,bodha_grass_removed_no_fire,seedling recruitment,,"13.93977413,78.49535237",474,4.288,60,0.4,5,0.5,none,uuid:d77f3969-5887-4716-bd14-d969a8ab9752,uuid:d77f3969-5887-4716-bd14-d969a8ab9752/sapling_repeat[39],APC7bodha_grass_removed_no_fire
APA1,Wrightia tinctoria,1179,all_burnt,clonal offspring,from an old sapling,"14.073006666666666,78.32036833333333",554.5,4.8,60,0.5,9,5,none,uuid:e2b89ba3-8b34-432a-b7d5-35112e40b29d,uuid:e2b89ba3-8b34-432a-b7d5-35112e40b29d/sapling_repeat[7],APA1all_burnt
APA17,Acacia chundra,4741,bodha_grass_present_no_fire,seedling recruitment,,"14.11829478,78.33382101",387.7120361,3.216,60,0.5,8,10,none,uuid:02f207ad-3edd-4db8-8f20-abc63430a887,uuid:02f207ad-3edd-4db8-8f20-abc63430a887/sapling_repeat[2],APA17bodha_grass_present_no_fire
APA21,Dalbergia paniculata,4941,bodha_grass_removed_no_fire,clonal offspring,,"14.00870468,78.32072303",504.7241211,4.288,60,0.5,5,2.5,none,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637/sapling_repeat[11],APA21bodha_grass_removed_no_fire
APA21,Dalbergia paniculata,4938,bodha_grass_removed_no_fire,clonal offspring,,"14.00872816,78.32065671",500.7401123,4.288,60,0.5,3,2,none,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637/sapling_repeat[14],APA21bodha_grass_removed_no_fire
APC1,Erythroxylum monogynum,1060,bodha_grass_present_no_fire,clonal offspring,,"13.85034436,78.44375361",494.3773804,4.288,60,0.5,1,10,none,uuid:a332e100-79f6-41db-9d9f-0482892368f4,uuid:a332e100-79f6-41db-9d9f-0482892368f4/sapling_repeat[4],APC1bodha_grass_present_no_fire
APC12,Acacia chundra,4695,bodha_grass_present_no_fire,seedling recruitment,,"13.89257807,78.41392014",430,4.5509996,60,0.5,6,7,none,uuid:21ad8535-3e2e-4066-88cc-bec794453533,uuid:21ad8535-3e2e-4066-88cc-bec794453533/sapling_repeat[16],APC12bodha_grass_present_no_fire
APC1,Erythroxylum monogynum,1088,bodha_grass_present_no_fire,seedling recruitment,,"13.85038605,78.44346417",477.6759033,4.288,60,0.6,5,1.7,none,uuid:a332e100-79f6-41db-9d9f-0482892368f4,uuid:a332e100-79f6-41db-9d9f-0482892368f4/sapling_repeat[29],APC1bodha_grass_present_no_fire
APC12,Acacia chundra,4686,bodha_grass_present_no_fire,seedling recruitment,,"13.89261768,78.41359412",429,4.5509996,60,0.6,2,2,none,uuid:21ad8535-3e2e-4066-88cc-bec794453533,uuid:21ad8535-3e2e-4066-88cc-bec794453533/sapling_repeat[7],APC12bodha_grass_present_no_fire
APC12,Acacia chundra,4689,bodha_grass_present_no_fire,seedling recruitment,,"13.89258597,78.41361988",431,4.5509996,60,0.6,2.5,1,none,uuid:21ad8535-3e2e-4066-88cc-bec794453533,uuid:21ad8535-3e2e-4066-88cc-bec794453533/sapling_repeat[10],APC12bodha_grass_present_no_fire
APA12,Erythroxylum monogynum,4911,bodha_grass_removed_no_fire,clonal offspring,,"14.04051446,78.31728956",539.140625,3.216,60,0.8,6,7,none,uuid:d575f779-7734-4a1e-a29a-0fec0e6ec096,uuid:d575f779-7734-4a1e-a29a-0fec0e6ec096/sapling_repeat[8],APA12bodha_grass_removed_no_fire
APA17,Acacia chundra,4766,bodha_grass_removed_no_fire,seedling recruitment,,"14.11814161,78.33499775",411.2944336,4.288,60,0.8,0.5,5,none,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3/sapling_repeat[3],APA17bodha_grass_removed_no_fire
