site_code,sapling_name,sapling_tag_no,treatment,type_recruit,Note on revisit,sapling_coordinate,sapling_altitude,sapling_coordinate-accuracy,sapling_height (cm),sapling_rcd (cm),sapling_line_to_sapling (m),sapling_to_sapling (m),sapling_disturbance,PARENT_KEY,KEY,site
APA19,Chloroxylon swietenia,1002,bodha_grass_removed_no_fire,clonal offspring,,"14.050896666666665,78.32466166666667",580.1,4.7,99,2.2,8,1.5,none,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d/sapling_repeat[3],APA19bodha_grass_removed_no_fire
APC5,Dolichandrone atrovirens,1372,bodha_grass_present_no_fire,seedling recruitment,,"13.81484379,78.41885363",449.6091309,4.288,98,1.1,9,0.5,none,uuid:fbd147db-7b17-4081-9500-41386984a897,uuid:fbd147db-7b17-4081-9500-41386984a897/sapling_repeat[6],APC5bodha_grass_present_no_fire
APA2,Annona squamosa,1127,bodha_grass_removed_no_fire,seedling recruitment,,"14.069881666666667,78.318305",554,4.9,98,1.3,4,4,none,uuid:f2977bb8-a9ce-4e7e-9b7f-495c1c9e7f47,uuid:f2977bb8-a9ce-4e7e-9b7f-495c1c9e7f47/sapling_repeat[15],APA2bodha_grass_removed_no_fire
APC12,Acacia chundra,4669,bodha_grass_removed_no_fire,clonal offspring,,"13.89417284,78.41325793",433.293457,3.216,98,1.3,0.5,6,none,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4/sapling_repeat[12],APC12bodha_grass_removed_no_fire
APA19,Chloroxylon swietenia,1006,bodha_grass_removed_no_fire,clonal offspring,,"14.050848333333333,78.32467166666667",576.2,4.9,98,2.5,1.5,0.5,none,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d/sapling_repeat[7],APA19bodha_grass_removed_no_fire
APC3,Acacia chundra,1470,bodha_grass_removed_no_fire,seedling recruitment,,"13.82879849,78.41297814",443.362915,4.288,96,1.1,5,1,none,uuid:3571d744-1048-4797-a485-5e341e06d360,uuid:3571d744-1048-4797-a485-5e341e06d360/sapling_repeat[4],APC3bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,1350,bodha_grass_removed_no_fire,seedling recruitment,,"13.93969688,78.49325261",463,4.288,96,2.1,0.7,0.5,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[37],APC6bodha_grass_removed_no_fire
APC1,Acacia chundra,1037,bodha_grass_present_no_fire,clonal offspring,,"13.85039357,78.4437867",503.470459,4.288,95,1.3,4.5,4,none,uuid:a332e100-79f6-41db-9d9f-0482892368f4,uuid:a332e100-79f6-41db-9d9f-0482892368f4/sapling_repeat[1],APC1bodha_grass_present_no_fire
APA17,Dolichandrone atrovirens,4743,bodha_grass_removed_no_fire,clonal offspring,,"14.11820992,78.33499569",417.7387085,4.288,95,1.5,4,2,none,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3/sapling_repeat[26],APA17bodha_grass_removed_no_fire
APA17,Dolichandrone atrovirens,4733,bodha_grass_present_no_fire,seedling recruitment,,"14.11804803,78.33334396",392.491333,3.216,95,1.6,6,11,none,uuid:02f207ad-3edd-4db8-8f20-abc63430a887,uuid:02f207ad-3edd-4db8-8f20-abc63430a887/sapling_repeat[10],APA17bodha_grass_present_no_fire
APC3,Dolichandrone atrovirens,1474,bodha_grass_removed_no_fire,seedling recruitment,,"13.82876857,78.41301368",450.9958496,3.216,95,2.1,3.5,5,none,uuid:3571d744-1048-4797-a485-5e341e06d360,uuid:3571d744-1048-4797-a485-5e341e06d360/sapling_repeat[8],APC3bodha_grass_removed_no_fire
APC5,Wrightia tinctoria,1370,bodha_grass_present_no_fire,clonal offspring,,"13.81440616,78.41906531",451.7733154,3.216,95,2.1,0.5,15,none,uuid:fbd147db-7b17-4081-9500-41386984a897,uuid:fbd147db-7b17-4081-9500-41386984a897/sapling_repeat[4],APC5bodha_grass_present_no_fire
