"","site","village","sci.name","tag.no","treatment","recruit.type","height","rcd","lat","long","altitude","disturbance"
"24","APA19_CAFA","APA19","Chloroxylon swietenia",1006,"CAFA","clonal offspring",98,2.5,"14.050848333333333","78.32467166666667",576.2,"none"
"25","APC3_CAFA","APC3","Acacia chundra",1470,"CAFA","seedling recruitment",96,1.1,"13.82879849","78.41297814",443.362915,"none"
"26","APC6_CAFA","APC6","Dolichandrone atrovirens",1350,"CAFA","seedling recruitment",96,2.1,"13.93969688","78.49325261",463,"none"
"27","APC1_CPFA","APC1","Acacia chundra",1037,"CPFA","clonal offspring",95,1.3,"13.85039357","78.4437867",503.470459,"none"
"28","APA17_CAFA","APA17","Dolichandrone atrovirens",4743,"CAFA","clonal offspring",95,1.5,"14.11820992","78.33499569",417.7387085,"none"
"29","APA17_CPFA","APA17","Dolichandrone atrovirens",4733,"CPFA","seedling recruitment",95,1.6,"14.11804803","78.33334396",392.491333,"none"
"30","APC3_CAFA","APC3","Dolichandrone atrovirens",1474,"CAFA","seedling recruitment",95,2.1,"13.82876857","78.41301368",450.9958496,"none"
"31","APC5_CPFA","APC5","Wrightia tinctoria",1370,"CPFA","clonal offspring",95,2.1,"13.81440616","78.41906531",451.7733154,"none"
"32","APC6_CAFA","APC6","Dolichandrone atrovirens",1356,"CAFA","seedling recruitment",95,2.5,"13.93981397","78.49371608",466,"none"
"33","APC1_CPFA","APC1","Acacia chundra",1041,"CPFA","clonal offspring",93,1.2,"13.85035228","78.44377532",503.5070801,"none"
"34","APA17_CPFA","APA17","Dolichandrone atrovirens",4736,"CPFA","clonal offspring",93,1.7,"14.11816252","78.3335273",393.6987305,"none"
"35","APC4_CPFA","APC4","Acacia chundra",1456,"CPFA","seedling recruitment",93,1.9,"13.84578222","78.44874165",514.9238892,"none"
"36","APA17_CAFA","APA17","Dolichandrone atrovirens",4748,"CAFA","seedling recruitment",92,1.6,"14.1185286","78.33474729",410.0886841,"none"
"37","APA1_CAFA","APA1","Wrightia tinctoria",3463,"CAFA","clonal offspring",92,1.7,"14.064646666666667","78.3197",533,"none"
"38","APC12_CPFA","APC12","Acacia chundra",4692,"CPFA","seedling recruitment",91,0.8,"13.89259261","78.41367279",424,"none"
"39","APA19_CAFA","APA19","Chloroxylon swietenia",1029,"CAFA","clonal offspring",91,1.2,"14.050988333333331","78.32476333333334",553.4,"none"
"40","APC7_CPFA","APC7","Chloroxylon swietenia",3746,"CPFA","seedling recruitment",91,1.8,"13.9429603","78.50781456",402,"none"
"41","APC1_CAFA","APC1","Tectona grandis",1034,"CAFA","seedling recruitment",90,0.5,"13.84885622","78.42865609",453,"none"
"42","APC3_Control","APC3","Acacia chundra",1305,"Control","clonal offspring",90,0.6,"13.82816881","78.41302805",457.6098633,"none"
"43","APC12_CPFA","APC12","Acacia chundra",4691,"CPFA","clonal offspring",90,0.9,"13.89257826","78.41369359",421,"none"
"44","APC3_Control","APC3","Chloroxylon swietenia",1310,"Control","clonal offspring",90,1.1,"13.827943","78.41315171",464.0305786,"none"
"45","APC4_CPFA","APC4","Dolichandrone atrovirens",1453,"CPFA","clonal offspring",90,1.1,"13.84578011","78.44865076",518.6365967,"none"
"46","APC3_Control","APC3","Chloroxylon swietenia",1304,"Control","clonal offspring",90,1.2,"13.82822893","78.4129917",468.9816895,"none"
"47","APA21_CAFA","APA21","Wrightia tinctoria",4950,"CAFA","clonal offspring",90,1.3,"14.0085842","78.32100089",508.6052246,"none"
"48","APC8_CAFA","APC8","Dalbergia paniculata",3722,"CAFA","seedling recruitment",90,1.3,"13.87383017","78.52806262",432,"none"
"49","APA19_CAFA","APA19","Chloroxylon swietenia",1030,"CAFA","clonal offspring",90,1.4,"14.050931666666667","78.32475500000001",553.5,"none"
"50","APC2_CPFA","APC2","Tectona grandis",3747,"CPFA","seedling recruitment",90,1.4,"13.89217722","78.48074591",459,"none"
"51","APC1_CPFA","APC1","Acacia chundra",1042,"CPFA","clonal offspring",90,1.5,"13.85034774","78.44376958",499.8048706,"none"
"52","APC12_CAFA","APC12","Acacia chundra",4675,"CAFA","seedling recruitment",90,1.7,"13.89375902","78.41328801",438.1040649,"none"
"53","APC7_CAFA","APC7","Dolichandrone atrovirens",4558,"CAFA","seedling recruitment",90,1.7,"13.94029685","78.49542394",465,"none"
"54","APA17_CPFA","APA17","Acacia chundra",4739,"CPFA","clonal offspring",90,1.8,"14.11815193","78.33377573",397.0795898,"none"
"55","APC1_Control","APC1","Dolichandrone atrovirens",1408,"Control","clonal offspring",90,1.8,"13.85276864","78.44247787",473.8406982,"none"
"56","APA15_CPFA","APA15","Wrightia tinctoria",3871,"CPFA","clonal offspring",90,1.9,"14.07263248","78.36363974",409,"none"
"57","APA6_CAFA","APA6","Holoptelia intergrifolia",3957,"CAFA","seedling recruitment",90,1.9,"14.0302022","78.38464939",401,"none"
"58","APC7_CAFA","APC7","Dolichandrone atrovirens",4555,"CAFA","seedling recruitment",90,2.1,"13.94021201","78.49544936",474,"none"
"59","APA17_CPFA","APA17","Dolichandrone atrovirens",4738,"CPFA","seedling recruitment",90,2.2,"14.11824334","78.33376724",392.4125977,"none"
"60","APC1_Control","APC1","Dolichandrone atrovirens",1406,"Control","clonal offspring",90,2.2,"13.85300688","78.44266937",502.2700195,"none"
"61","APC2_CAFA","APC2","Tectona grandis",3737,"CAFA","seedling recruitment",90,2.2,"13.89542321","78.47717073",424,"none"
"62","APC6_CAFA","APC6","Dolichandrone atrovirens",1393,"CAFA","seedling recruitment",90,2.4,"13.93970242","78.49313342",459,"none"
"63","APA17_CPFA","APA17","Dolichandrone atrovirens",4740,"CPFA","seedling recruitment",90,2.5,"14.1181866","78.33391041",384.5213013,"none"
